speed 0.0880578339099884
throttle 0.75
brake 0.0
time 35:03.411927
x 383.18017578125
y 2.1991734504699707
speed 0.1090878076851368
throttle 0.75
brake 0.0
time 35:03.539749
x 383.1795959472656
y 2.1991214752197266
speed 0.0057183568831533195
throttle 0.75
brake 0.0
time 35:03.691783
x 383.17919921875
y 2.1991126537323
speed 0.24692349135875702
throttle 0.75
brake 0.0
time 35:03.815598
x 383.1759948730469
y 2.1989450454711914
speed 0.5585926115512848
throttle 0.75
brake 0.0
time 35:03.960660
x 383.1690979003906
y 2.1986050605773926
x 383.1595764160156
y 2.197955369949341
speed 0.9424765348434448
throttle 0.75
brake 0.0
time 35:04.088588
x 383.14111328125
y 2.196688652038574
speed 1.6265087127685547
throttle 0.75
brake 0.0
time 35:04.219887
speed 2.0774961948394775
throttle 0.75
brake 0.0
time 35:04.399905
x 383.113037109375
y 2.1951804161071777
speed 2.822787880897522
throttle 0.75
brake 0.0
time 35:04.519201
x 383.0772705078125
y 2.1930835247039795
speed 3.483162760734558
throttle 0.75
brake 0.0
time 35:04.617928
x 383.0318603515625
y 2.190444231033325
speed 4.083588123321533
throttle 0.75
brake 0.0
time 35:04.738607
x 382.97796630859375
y 2.1873269081115723
speed 4.6468168258667
throttle 0.75
brake 0.0
time 35:04.868667
x 382.9161682128906
y 2.183769941329956
speed 5.1860009193420415
throttle 0.75
brake 0.0
time 35:05.026528
x 382.8468017578125
y 2.179806709289551
speed 5.709150123596191
throttle 0.75
brake 0.0
time 35:05.138002
x 382.77008056640625
y 2.1754627227783203
speed 6.221195411682129
throttle 0.75
brake 0.0
time 35:05.259699
x 382.6861572265625
y 2.170762538909912
speed 6.7252369880676275
throttle 0.75
brake 0.0
time 35:05.429471
x 382.59527587890625
y 2.165727138519287
speed 7.223262691497803
throttle 0.75
brake 0.0
time 35:05.528506
x 382.4974670410156
y 2.1603736877441406
x 382.3927307128906
y 2.1547250747680664
speed 7.716581439971924
throttle 0.75
brake 0.0
time 35:05.635858
speed 8.206045532226563
throttle 0.75
brake 0.0
time 35:05.784106
x 382.28125
y 2.1487982273101807
speed 8.69223861694336
throttle 0.75
brake 0.0
time 35:05.964184
x 382.1629638671875
y 2.1426098346710205
speed 9.175554656982422
throttle 0.75
brake 0.0
time 35:06.072604
x 382.0379333496094
y 2.1361780166625977
speed 9.656270027160645
throttle 0.75
brake 0.0
time 35:06.232883
x 381.9061584472656
y 2.1295182704925537
